Bias_motivation,Total_offenses,Murder_and_nonnegligent_manslaughter,Rape,Aggravated_assault,Simple_assault,Intimidation,Other_crimes_against_persons,Robbery,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Destruction_damage_vandalism,Other_crimes_against_properties,Crimes_against_society
Total,"8,496",24,22,"1,026","1,895","2,560",39,132,131,330,42,43,"1,876",87,289
Single-Bias Incidents,"8,327",24,22,"1,017","1,882","2,468",39,131,129,325,42,43,"1,830",86,289
Race/Ethnicity/Ancestry,"4,954",8,9,659,"1,121","1,627",21,68,76,195,26,16,854,50,224
Anti-White,"1,001",3,6,114,250,289,9,15,24,79,8,1,91,20,92
Anti-Black or African American,"2,325",4,2,323,486,908,2,14,24,22,3,10,474,3,50
Anti-American Indian or Alaska Native,204,0,0,6,30,11,5,2,8,49,9,1,14,12,57
Anti-Asian,171,0,0,18,46,60,0,4,2,5,0,0,30,2,4
Anti-Native Hawaiian or Other Pacific Islander,26,0,0,5,6,7,0,0,0,3,0,0,3,1,1
"Anti-Multiple Races, Group",166,0,0,7,16,60,0,1,3,5,1,1,68,0,4
Anti-Arab,100,0,0,18,17,37,0,2,2,4,0,1,8,2,9
Anti-Hispanic or Latino,644,1,0,129,197,190,4,23,8,8,4,1,73,3,3
Anti-Other Race/Ethnicity/Ancestry,317,0,1,39,73,65,1,7,5,20,1,1,93,7,4
Religion,"1,550",12,0,63,161,406,11,12,25,50,8,24,723,16,39
Anti-Jewish,896,11,0,24,65,243,8,5,2,3,1,10,522,0,2
Anti-Catholic,59,0,0,3,3,11,0,0,2,3,1,5,24,3,4
Anti-Protestant,38,0,0,4,4,3,0,0,0,7,1,2,15,0,2
Anti-Islamic (Muslim),225,0,0,14,53,102,0,4,2,3,0,2,44,0,1
Anti-Other Religion,96,1,0,3,9,21,1,1,3,7,1,2,43,1,3
"Anti-Multiple Religions, Group",50,0,0,1,3,11,0,0,2,2,0,2,24,0,5
Anti-Mormon,9,0,0,0,1,0,0,0,0,1,1,0,5,0,1
Anti-Jehovah's Witness,9,0,0,1,,2,0,0,0,1,0,1,4,0,0
"Anti-Eastern Orthodox (Russian, Greek, Other)",32,0,0,4,1,0,2,0,1,5,1,0,5,4,9
Anti-Other Christian,42,0,0,3,4,6,0,1,4,1,0,0,21,0,2
Anti-Buddhist,10,0,0,1,2,1,0,1,2,1,0,0,1,0,1
Anti-Hindu,14,0,0,0,5,2,0,0,0,1,0,0,5,1,0
Anti-Sikh,64,0,0,5,10,4,0,0,7,14,2,0,7,6,9
Anti-Atheism/Agnosticism/etc.,6,0,0,0,1,0,0,0,0,1,0,0,3,1,0
Sexual Orientation,"1,404",3,5,245,468,356,3,32,18,44,5,3,214,3,5
Anti-Gay (Male),839,2,2,160,297,198,2,23,10,15,3,1,125,0,1
Anti-Lesbian,171,1,1,28,44,63,0,2,3,2,0,1,23,1,2
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",353,0,0,53,119,84,1,7,4,21,1,1,60,1,1
Anti-Heterosexual,20,0,1,2,5,5,0,0,0,3,1,0,2,1,0
Anti-Bisexual,21,0,1,2,3,6,0,0,1,3,0,0,4,0,1
Disability,177,0,4,16,55,19,2,3,7,29,2,0,12,13,15
Anti-Physical,67,0,1,4,22,7,1,2,1,13,0,0,6,4,6
Anti-Mental,110,0,3,12,33,12,1,1,6,16,2,0,6,9,9
Gender,58,1,2,5,13,20,2,2,0,3,0,0,5,3,2
Anti-Male,26,0,2,5,5,6,1,2,0,1,0,0,1,2,1
Anti-Female,32,1,0,0,8,14,1,0,0,2,0,0,4,1,1
Gender Identity,184,0,2,29,64,40,0,14,3,4,1,0,22,1,4
Anti-Transgender,157,0,1,26,56,37,0,14,2,2,1,0,15,1,2
Anti-Gender Non-Conforming,27,0,1,3,8,3,0,0,1,2,0,0,7,0,2
Multiple-Bias Incidents,169,0,0,9,13,92,0,1,2,5,0,0,46,1,0
