Table 4,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2004",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"9,035      ",5          ,4          ,"1,040       ","1,750       ","2,827      ",16    ,112     ,146      ,169      ,15       ,44       ,"2,812     ",35     ,60     
Single-Bias Incidents,"9,021      ",5          ,4          ,"1,038       ","1,745       ","2,823      ",16    ,112     ,145      ,169      ,15       ,44       ,"2,810     ",35     ,60     
Race:,"4,863      ",3          ,4          ,623       ,"1,019       ","1,618      ",6    ,47     ,75      ,101      ,9       ,18       ,"1,273     ",22     ,45     
Anti-White,998      ,2          ,3          ,151       ,316       ,228      ,4    ,22     ,22      ,61      ,7       ,3       ,144     ,13     ,22     
Anti-Black,"3,281      ",1          ,1          ,407       ,602       ,"1,209      ",1    ,22     ,42      ,22      ,1       ,12       ,941     ,5     ,15     
Anti-American Indian/Alaskan Native,97      ,0          ,0          ,16       ,30       ,22      ,1    ,0     ,3      ,6      ,0       ,0       ,13     ,3     ,3     
Anti-Asian/Pacific Islander,252      ,0          ,0          ,25       ,43       ,80      ,0    ,3     ,4      ,10      ,1       ,3       ,79     ,1     ,3     
"Anti-Multiple Races, Group",235      ,0          ,0          ,24       ,28       ,79      ,0    ,0     ,4      ,2      ,0       ,0       ,96     ,0     ,2     
Religion:,"1,480      ",1          ,0          ,21       ,71       ,380      ,0    ,4     ,36      ,28      ,3       ,14       ,913     ,5     ,4     
Anti-Jewish,"1,003      ",0          ,0          ,10       ,32       ,255      ,0    ,3     ,15      ,5      ,1       ,3       ,679     ,0     ,0     
Anti-Catholic,57      ,0          ,0          ,2       ,4       ,5      ,0    ,1     ,2      ,4      ,0       ,2       ,36     ,1     ,0     
Anti-Protestant,43      ,0          ,0          ,3       ,5       ,3      ,0    ,0     ,4      ,4      ,0       ,2       ,20     ,2     ,0     
Anti-Islamic,193      ,0          ,0          ,4       ,22       ,88      ,0    ,0     ,6      ,5      ,0       ,2       ,65     ,1     ,0     
Anti-Other Religion,140      ,0          ,0          ,2       ,6       ,23      ,0    ,0     ,6      ,7      ,2       ,5       ,86     ,0     ,3     
"Anti-Multiple Religions, Group",37      ,0          ,0          ,0       ,1       ,6      ,0    ,0     ,2      ,3      ,0       ,0       ,24     ,1     ,0     
Anti-Atheism/Agnosticism/etc.,7      ,1          ,0          ,0       ,1       ,0      ,0    ,0     ,1      ,0      ,0       ,0       ,3     ,0     ,1     
Sexual Orientation:,"1,406      ",1          ,0          ,208       ,372       ,389      ,9    ,37     ,10      ,13      ,2       ,5       ,350     ,4     ,6     
Anti-Male Homosexual,855      ,0          ,0          ,113       ,253       ,252      ,6    ,29     ,2      ,0      ,1       ,3       ,191     ,3     ,2     
Anti-Female Homosexual,201      ,0          ,0          ,34       ,49       ,61      ,1    ,3     ,5      ,3      ,0       ,1       ,42     ,0     ,2     
Anti-Homosexual,297      ,1          ,0          ,51       ,58       ,69      ,1    ,4     ,3      ,4      ,0       ,1       ,104     ,1     ,0     
Anti-Heterosexual,35      ,0          ,0          ,7       ,7       ,4      ,1    ,1     ,0      ,3      ,1       ,0       ,9     ,0     ,2     
Anti-Bisexual,18      ,0          ,0          ,3       ,5       ,3      ,0    ,0     ,0      ,3      ,0       ,0       ,4     ,0     ,0     
Ethnicity/National Origin:,"1,201      ",0          ,0          ,181       ,268       ,413      ,1    ,23     ,19      ,19      ,1       ,7       ,263     ,2     ,4     
Anti-Hispanic,611      ,0          ,0          ,118       ,159       ,181      ,0    ,16     ,12      ,8      ,1       ,3       ,110     ,1     ,2     
Anti-Other Ethnicity/National Origin,590      ,0          ,0          ,63       ,109       ,232      ,1    ,7     ,7      ,11      ,0       ,4       ,153     ,1     ,2     
Disability:,71      ,0          ,0          ,5       ,15       ,23      ,0    ,1     ,5      ,8      ,0       ,0       ,11     ,2     ,1     
Anti-Physical,23      ,0          ,0          ,2       ,3       ,6      ,0    ,1     ,2      ,5      ,0       ,0       ,2     ,2     ,0     
Anti-Mental,48      ,0          ,0          ,3       ,12       ,17      ,0    ,0     ,3      ,3      ,0       ,0       ,9     ,0     ,1     
Multiple-Bias Incidents2,14      ,0          ,0          ,2       ,5       ,4      ,0    ,0     ,1      ,0      ,0       ,0       ,2     ,0     ,0     
