Table 4,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2009",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,Larceny-theft,"Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"7,789      ",8          ,9          ,914       ,"1,691       ","2,158      ",13    ,124     ,137      ,163      ,11       ,41       ,"2,465     ",29     ,26     
Single-Bias Incidents,"7,775      ",8          ,9          ,913       ,"1,689       ","2,153      ",13    ,124     ,135      ,163      ,11       ,41       ,"2,461     ",29     ,26     
Race:,"3,816      ",6          ,4          ,460       ,804       ,"1,194      ",8    ,57     ,76      ,79      ,5       ,12       ,"1,079     ",17     ,15     
Anti-White,652      ,3          ,2          ,113       ,191       ,158      ,5    ,31     ,20      ,47      ,1       ,2       ,60     ,13     ,6     
Anti-Black,"2,724      ",2          ,2          ,312       ,507       ,935      ,1    ,23     ,49      ,19      ,3       ,8       ,856     ,1     ,6     
Anti-American Indian/Alaskan Native,84      ,1          ,0          ,13       ,31       ,12      ,2    ,3     ,2      ,9      ,0       ,0       ,8     ,2     ,1     
Anti-Asian/Pacific Islander,147      ,0          ,0          ,15       ,44       ,40      ,0    ,0     ,0      ,2      ,0       ,0       ,45     ,1     ,0     
"Anti-Multiple Races, Group",209      ,0          ,0          ,7       ,31       ,49      ,0    ,0     ,5      ,2      ,1       ,2       ,110     ,0     ,2     
Religion:,"1,376      ",0          ,0          ,29       ,129       ,260      ,0    ,1     ,23      ,30      ,1       ,14       ,882     ,5     ,2     
Anti-Jewish,964      ,0          ,0          ,9       ,82       ,172      ,0    ,1     ,13      ,6      ,1       ,8       ,671     ,0     ,1     
Anti-Catholic,55      ,0          ,0          ,1       ,4       ,6      ,0    ,0     ,0      ,12      ,0       ,1       ,29     ,2     ,0     
Anti-Protestant,40      ,0          ,0          ,0       ,0       ,10      ,0    ,0     ,1      ,1      ,0       ,1       ,26     ,1     ,0     
Anti-Islamic,128      ,0          ,0          ,11       ,34       ,44      ,0    ,0     ,0      ,4      ,0       ,1       ,33     ,0     ,1     
Anti-Other Religion,119      ,0          ,0          ,4       ,3       ,20      ,0    ,0     ,3      ,1      ,0       ,3       ,84     ,1     ,0     
"Anti-Multiple Religions, Group",60      ,0          ,0          ,4       ,5       ,7      ,0    ,0     ,4      ,4      ,0       ,0       ,35     ,1     ,0     
Anti-Atheism/Agnosticism/etc.,10      ,0          ,0          ,0       ,1       ,1      ,0    ,0     ,2      ,2      ,0       ,0       ,4     ,0     ,0     
Sexual Orientation:,"1,436      ",1          ,4          ,227       ,493       ,325      ,2    ,44     ,16      ,16      ,1       ,8       ,295     ,1     ,3     
Anti-Male Homosexual,798      ,0          ,0          ,137       ,291       ,170      ,1    ,30     ,7      ,6      ,1       ,2       ,152     ,0     ,1     
Anti-Female Homosexual,216      ,0          ,4          ,36       ,73       ,47      ,1    ,2     ,4      ,3      ,0       ,2       ,43     ,0     ,1     
Anti-Homosexual,376      ,1          ,0          ,51       ,118       ,100      ,0    ,11     ,2      ,4      ,0       ,3       ,85     ,1     ,0     
Anti-Heterosexual,21      ,0          ,0          ,3       ,5       ,3      ,0    ,0     ,1      ,0      ,0       ,1       ,8     ,0     ,0     
Anti-Bisexual,25      ,0          ,0          ,0       ,6       ,5      ,0    ,1     ,2      ,3      ,0       ,0       ,7     ,0     ,1     
Ethnicity/National Origin:,"1,050      ",1          ,1          ,192       ,242       ,357      ,1    ,22     ,13      ,18      ,4       ,7       ,184     ,4     ,4     
Anti-Hispanic,654      ,1          ,1          ,143       ,158       ,205      ,1    ,20     ,11      ,10      ,1       ,3       ,95     ,2     ,3     
Anti-Other Ethnicity/National Origin,396      ,0          ,0          ,49       ,84       ,152      ,0    ,2     ,2      ,8      ,3       ,4       ,89     ,2     ,1     
Disability:,97      ,0          ,0          ,5       ,21       ,17      ,2    ,0     ,7      ,20      ,0       ,0       ,21     ,2     ,2     
Anti-Physical,25      ,0          ,0          ,3       ,4       ,9      ,0    ,0     ,0      ,4      ,0       ,0       ,4     ,0     ,1     
Anti-Mental,72      ,0          ,0          ,2       ,17       ,8      ,2    ,0     ,7      ,16      ,0       ,0       ,17     ,2     ,1     
Multiple-Bias Incidents2,14      ,0          ,0          ,1       ,2       ,5      ,0    ,0     ,2      ,0      ,0       ,0       ,4     ,0     ,0     
1Includes additional offenses collected in the National Incident-Based Reporting System.  See Methodology.,,,,,,,,,,,,,,,
"2In a multiple-bias incident, two conditions must be met:  (a) more than one offense type must occur in the incident and (b) at least two offense types must be motivated by different biases.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
