Table 4,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2007",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,Larceny-theft,"Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"9,006      ",9          ,2          ,"1,116       ","1,684       ","2,565      ",32    ,178     ,159      ,221      ,22       ,40       ,"2,915     ",44     ,19     
Single-Bias Incidents,"8,999      ",9          ,2          ,"1,116       ","1,683       ","2,561      ",32    ,178     ,159      ,221      ,22       ,40       ,"2,913     ",44     ,19     
Race:,"4,724      ",2          ,1          ,623       ,845       ,"1,546      ",14    ,67     ,75      ,120      ,16       ,28       ,"1,361     ",19     ,7     
Anti-White,871      ,0          ,1          ,107       ,246       ,190      ,8    ,39     ,25      ,76      ,4       ,3       ,155     ,15     ,2     
Anti-Black,"3,275      ",1          ,0          ,450       ,518       ,"1,186      ",6    ,21     ,41      ,26      ,6       ,20       ,992     ,4     ,4     
Anti-American Indian/Alaskan Native,75      ,0          ,0          ,9       ,18       ,22      ,0    ,0     ,1      ,10      ,4       ,2       ,9     ,0     ,0     
Anti-Asian/Pacific Islander,219      ,0          ,0          ,19       ,33       ,79      ,0    ,6     ,5      ,5      ,1       ,0       ,71     ,0     ,0     
"Anti-Multiple Races, Group",284      ,1          ,0          ,38       ,30       ,69      ,0    ,1     ,3      ,3      ,1       ,3       ,134     ,0     ,1     
Religion:,"1,477      ",0          ,0          ,44       ,82       ,290      ,5    ,3     ,36      ,33      ,1       ,3       ,972     ,6     ,2     
Anti-Jewish,"1,010      ",0          ,0          ,16       ,42       ,201      ,4    ,1     ,17      ,6      ,0       ,1       ,718     ,4     ,0     
Anti-Catholic,65      ,0          ,0          ,0       ,7       ,4      ,0    ,0     ,4      ,10      ,0       ,1       ,38     ,1     ,0     
Anti-Protestant,59      ,0          ,0          ,4       ,5       ,3      ,0    ,0     ,2      ,4      ,0       ,0       ,41     ,0     ,0     
Anti-Islamic,133      ,0          ,0          ,12       ,21       ,51      ,0    ,1     ,4      ,3      ,0       ,0       ,41     ,0     ,0     
Anti-Other Religion,140      ,0          ,0          ,10       ,5       ,24      ,0    ,0     ,6      ,3      ,0       ,1       ,88     ,1     ,2     
"Anti-Multiple Religions, Group",64      ,0          ,0          ,1       ,2       ,7      ,1    ,0     ,3      ,7      ,1       ,0       ,42     ,0     ,0     
Anti-Atheism/Agnosticism/etc.,6      ,0          ,0          ,1       ,0       ,0      ,0    ,1     ,0      ,0      ,0       ,0       ,4     ,0     ,0     
Sexual Orientation:,"1,460      ",5          ,0          ,242       ,448       ,335      ,9    ,53     ,16      ,23      ,2       ,3       ,314     ,7     ,3     
Anti-Male Homosexual,864      ,4          ,0          ,142       ,280       ,203      ,6    ,37     ,4      ,9      ,0       ,2       ,173     ,2     ,2     
Anti-Female Homosexual,184      ,0          ,0          ,37       ,48       ,47      ,0    ,2     ,4      ,3      ,1       ,0       ,41     ,1     ,0     
Anti-Homosexual,362      ,1          ,0          ,61       ,104       ,74      ,1    ,14     ,3      ,6      ,0       ,1       ,93     ,3     ,1     
Anti-Heterosexual,27      ,0          ,0          ,1       ,7       ,8      ,2    ,0     ,4      ,1      ,0       ,0       ,3     ,1     ,0     
Anti-Bisexual,23      ,0          ,0          ,1       ,9       ,3      ,0    ,0     ,1      ,4      ,1       ,0       ,4     ,0     ,0     
Ethnicity/National Origin:,"1,256      ",2          ,0          ,203       ,292       ,375      ,2    ,53     ,28      ,24      ,3       ,6       ,257     ,6     ,5     
Anti-Hispanic,775      ,2          ,0          ,147       ,172       ,247      ,2    ,43     ,19      ,11      ,1       ,1       ,123     ,3     ,4     
Anti-Other Ethnicity/National Origin,481      ,0          ,0          ,56       ,120       ,128      ,0    ,10     ,9      ,13      ,2       ,5       ,134     ,3     ,1     
Disability:,82      ,0          ,1          ,4       ,16       ,15      ,2    ,2     ,4      ,21      ,0       ,0       ,9     ,6     ,2     
Anti-Physical,20      ,0          ,0          ,2       ,7       ,7      ,0    ,0     ,0      ,2      ,0       ,0       ,1     ,1     ,0     
Anti-Mental,62      ,0          ,1          ,2       ,9       ,8      ,2    ,2     ,4      ,19      ,0       ,0       ,8     ,5     ,2     
Multiple-Bias Incidents2,7      ,0          ,0          ,0       ,1       ,4      ,0    ,0     ,0      ,0      ,0       ,0       ,2     ,0     ,0     
1Includes additional offenses collected in the NIBRS.  See Methodology.,,,,,,,,,,,,,,,
"2In a multiple-bias incident, two conditions must be met:  (a) more than one offense type must occur in the incident and (b) at least two offense types must be motivated by different biases.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
