Table 4,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2006",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,Larceny-theft,"Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"9,080      ",3          ,6          ,"1,178       ","1,737       ","2,508      ",17    ,142     ,155      ,261      ,25       ,41       ,"2,911     ",58     ,38     
Single-Bias Incidents,"9,076      ",3          ,6          ,"1,178       ","1,737       ","2,508      ",17    ,142     ,154      ,260      ,25       ,41       ,"2,910     ",57     ,38     
Race:,"4,737      ",3          ,4          ,607       ,939       ,"1,424      ",10    ,68     ,92      ,167      ,16       ,14       ,"1,335     ",38     ,20     
Anti-White,"1,008      ",2          ,1          ,139       ,249       ,186      ,8    ,37     ,44      ,120      ,9       ,3       ,168     ,31     ,11     
Anti-Black,"3,136      ",1          ,3          ,395       ,564       ,"1,079      ",0    ,22     ,37      ,28      ,7       ,9       ,980     ,5     ,6     
Anti-American Indian/Alaskan Native,72      ,0          ,0          ,12       ,18       ,17      ,1    ,1     ,2      ,10      ,0       ,1       ,8     ,2     ,0     
Anti-Asian/Pacific Islander,230      ,0          ,0          ,36       ,65       ,65      ,0    ,7     ,4      ,8      ,0       ,0       ,43     ,0     ,2     
"Anti-Multiple Races, Group",291      ,0          ,0          ,25       ,43       ,77      ,1    ,1     ,5      ,1      ,0       ,1       ,136     ,0     ,1     
Religion:,"1,597      ",0          ,0          ,65       ,108       ,379      ,1    ,4     ,30      ,37      ,2       ,16       ,947     ,7     ,1     
Anti-Jewish,"1,027      ",0          ,0          ,22       ,58       ,244      ,0    ,1     ,7      ,13      ,0       ,8       ,672     ,2     ,0     
Anti-Catholic,81      ,0          ,0          ,0       ,9       ,8      ,0    ,0     ,5      ,8      ,1       ,0       ,49     ,1     ,0     
Anti-Protestant,62      ,0          ,0          ,0       ,3       ,3      ,0    ,1     ,5      ,5      ,0       ,2       ,39     ,3     ,1     
Anti-Islamic,191      ,0          ,0          ,24       ,30       ,79      ,0    ,1     ,5      ,0      ,0       ,0       ,51     ,1     ,0     
Anti-Other Religion,140      ,0          ,0          ,7       ,2       ,24      ,0    ,1     ,6      ,5      ,1       ,4       ,90     ,0     ,0     
"Anti-Multiple Religions, Group",88      ,0          ,0          ,12       ,3       ,19      ,0    ,0     ,2      ,6      ,0       ,2       ,44     ,0     ,0     
Anti-Atheism/Agnosticism/etc.,8      ,0          ,0          ,0       ,3       ,2      ,1    ,0     ,0      ,0      ,0       ,0       ,2     ,0     ,0     
Sexual Orientation:,"1,415      ",0          ,0          ,267       ,395       ,338      ,4    ,34     ,17      ,28      ,3       ,2       ,319     ,6     ,2     
Anti-Male Homosexual,881      ,0          ,0          ,187       ,261       ,220      ,0    ,22     ,11      ,7      ,1       ,0       ,170     ,1     ,1     
Anti-Female Homosexual,192      ,0          ,0          ,27       ,44       ,50      ,3    ,2     ,3      ,4      ,2       ,0       ,54     ,2     ,1     
Anti-Homosexual,293      ,0          ,0          ,52       ,83       ,54      ,0    ,10     ,2      ,5      ,0       ,2       ,85     ,0     ,0     
Anti-Heterosexual,28      ,0          ,0          ,1       ,2       ,8      ,1    ,0     ,1      ,6      ,0       ,0       ,8     ,1     ,0     
Anti-Bisexual,21      ,0          ,0          ,0       ,5       ,6      ,0    ,0     ,0      ,6      ,0       ,0       ,2     ,2     ,0     
Ethnicity/National Origin:,"1,233      ",0          ,0          ,233       ,273       ,352      ,0    ,35     ,10      ,15      ,3       ,8       ,294     ,2     ,8     
Anti-Hispanic,770      ,0          ,0          ,181       ,175       ,205      ,0    ,30     ,7      ,7      ,2       ,5       ,149     ,1     ,8     
Anti-Other Ethnicity/National Origin,463      ,0          ,0          ,52       ,98       ,147      ,0    ,5     ,3      ,8      ,1       ,3       ,145     ,1     ,0     
Disability:,94      ,0          ,2          ,6       ,22       ,15      ,2    ,1     ,5      ,13      ,1       ,1       ,15     ,4     ,7     
Anti-Physical,20      ,0          ,0          ,2       ,4       ,3      ,2    ,0     ,0      ,4      ,0       ,0       ,2     ,0     ,3     
Anti-Mental,74      ,0          ,2          ,4       ,18       ,12      ,0    ,1     ,5      ,9      ,1       ,1       ,13     ,4     ,4     
Multiple-Bias Incidents2,4      ,0          ,0          ,0       ,0       ,0      ,0    ,0     ,1      ,1      ,0       ,0       ,1     ,1     ,0     
1Includes additional offenses collected in the NIBRS.  See Methodology.,,,,,,,,,,,,,,,
"2In a multiple-bias incident, two conditions must be met:  (a) more than one offense type must occur in the incident and (b) at least two offense types must be motivated by different biases.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
