Table 4,,,,,,,,,,,,,,,
"Offenses
Offense Type
by Bias Motivation, 2005",,,,,,,,,,,,,,,
Bias motivation,"Total
offenses",Crimes against persons,,,,,,Crimes against property,,,,,,,"Crimes
against
society1"
,,"Murder and
nonnegligent
manslaughter","Forcible
rape","Aggravated
assault","Simple
assault",Intimidation,Other1,Robbery,Burglary,Larceny-theft,"Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Other1,
Total,"8,380      ",6          ,3          ,"1,062       ","1,566       ","2,539      ",14    ,127     ,136      ,221      ,18       ,39       ,"2,528     ",40     ,81     
Single-Bias Incidents,"8,373      ",6          ,3          ,"1,062       ","1,566       ","2,537      ",14    ,127     ,135      ,220      ,18       ,39       ,"2,525     ",40     ,81     
Race:,"4,691      ",3          ,1          ,648       ,888       ,"1,526      ",7    ,61     ,86      ,131      ,16       ,22       ,"1,220     ",24     ,58     
Anti-White,935      ,1          ,0          ,179       ,242       ,172      ,3    ,32     ,35      ,79      ,5       ,3       ,135     ,20     ,29     
Anti-Black,"3,200      ",2          ,1          ,425       ,554       ,"1,180      ",3    ,23     ,37      ,27      ,5       ,13       ,902     ,4     ,24     
Anti-American Indian/Alaskan Native,95      ,0          ,0          ,10       ,15       ,26      ,0    ,2     ,5      ,13      ,3       ,1       ,18     ,0     ,2     
Anti-Asian/Pacific Islander,231      ,0          ,0          ,21       ,46       ,84      ,0    ,2     ,3      ,9      ,3       ,2       ,59     ,0     ,2     
"Anti-Multiple Races, Group",230      ,0          ,0          ,13       ,31       ,64      ,1    ,2     ,6      ,3      ,0       ,3       ,106     ,0     ,1     
Religion:,"1,314      ",0          ,0          ,33       ,81       ,340      ,0    ,6     ,23      ,34      ,0       ,11       ,775     ,6     ,5     
Anti-Jewish,900      ,0          ,0          ,16       ,42       ,232      ,0    ,2     ,10      ,11      ,0       ,4       ,582     ,1     ,0     
Anti-Catholic,61      ,0          ,0          ,2       ,2       ,8      ,0    ,0     ,1      ,7      ,0       ,1       ,37     ,1     ,2     
Anti-Protestant,58      ,0          ,0          ,0       ,4       ,2      ,0    ,0     ,3      ,8      ,0       ,3       ,35     ,1     ,2     
Anti-Islamic,146      ,0          ,0          ,8       ,27       ,64      ,0    ,4     ,3      ,2      ,0       ,0       ,36     ,2     ,0     
Anti-Other Religion,102      ,0          ,0          ,7       ,2       ,26      ,0    ,0     ,4      ,3      ,0       ,2       ,56     ,1     ,1     
"Anti-Multiple Religions, Group",42      ,0          ,0          ,0       ,4       ,7      ,0    ,0     ,2      ,2      ,0       ,1       ,26     ,0     ,0     
Anti-Atheism/Agnosticism/etc.,5      ,0          ,0          ,0       ,0       ,1      ,0    ,0     ,0      ,1      ,0       ,0       ,3     ,0     ,0     
Sexual Orientation:,"1,171      ",0          ,1          ,177       ,333       ,301      ,6    ,30     ,10      ,27      ,2       ,1       ,275     ,3     ,5     
Anti-Male Homosexual,713      ,0          ,0          ,105       ,203       ,195      ,4    ,23     ,5      ,13      ,1       ,1       ,159     ,2     ,2     
Anti-Female Homosexual,180      ,0          ,0          ,29       ,43       ,52      ,1    ,2     ,1      ,3      ,1       ,0       ,47     ,1     ,0     
Anti-Homosexual,228      ,0          ,1          ,34       ,76       ,47      ,0    ,4     ,2      ,5      ,0       ,0       ,58     ,0     ,1     
Anti-Heterosexual,23      ,0          ,0          ,3       ,5       ,5      ,1    ,1     ,1      ,1      ,0       ,0       ,6     ,0     ,0     
Anti-Bisexual,27      ,0          ,0          ,6       ,6       ,2      ,0    ,0     ,1      ,5      ,0       ,0       ,5     ,0     ,2     
Ethnicity/National Origin:,"1,144      ",3          ,0          ,198       ,247       ,362      ,0    ,29     ,15      ,18      ,0       ,5       ,251     ,4     ,12     
Anti-Hispanic,660      ,2          ,0          ,139       ,159       ,195      ,0    ,15     ,9      ,7      ,0       ,2       ,121     ,3     ,8     
Anti-Other Ethnicity/National Origin,484      ,1          ,0          ,59       ,88       ,167      ,0    ,14     ,6      ,11      ,0       ,3       ,130     ,1     ,4     
Disability:,53      ,0          ,1          ,6       ,17       ,8      ,1    ,1     ,1      ,10      ,0       ,0       ,4     ,3     ,1     
Anti-Physical,21      ,0          ,0          ,4       ,9       ,6      ,0    ,0     ,0      ,1      ,0       ,0       ,1     ,0     ,0     
Anti-Mental,32      ,0          ,1          ,2       ,8       ,2      ,1    ,1     ,1      ,9      ,0       ,0       ,3     ,3     ,1     
Multiple-Bias Incidents2,7      ,0          ,0          ,0       ,0       ,2      ,0    ,0     ,1      ,1      ,0       ,0       ,3     ,0     ,0     
1Includes additional offenses collected in the NIBRS.  See Methodology.,,,,,,,,,,,,,,,
2In a multiple-bias incident two conditions must be met:  1) more than one offense type must occur in the incident and 2) at least two offense types must be motivated by different biases.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
