Table 1,,,,
"Incidents, Offenses, Victims, and Known Offenders
by Bias Motivation, 2005",,,,
Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Total,"7,163","8,380","8,804","6,804"
Single-Bias Incidents,"7,160","8,373","8,795","6,800"
Race:,"3,919","4,691","4,895","3,913"
Anti-White,828,935,975,963
Anti-Black,"2,630","3,200","3,322","2,581"
Anti-American Indian/Alaskan Native,79,95,97,73
Anti-Asian/Pacific Islander,199,231,240,163
"Anti-Multiple Races, Group",183,230,261,133
Religion:,"1,227","1,314","1,405",580
Anti-Jewish,848,900,977,364
Anti-Catholic,58,61,61,22
Anti-Protestant,57,58,58,32
Anti-Islamic,128,146,151,89
Anti-Other Religion,93,102,106,54
"Anti-Multiple Religions, Group",39,42,47,18
Anti-Atheism/Agnosticism/etc.,4,5,5,1
Sexual Orientation:,"1,017","1,171","1,213","1,138"
Anti-Male Homosexual,621,713,743,715
Anti-Female Homosexual,155,180,186,146
Anti-Homosexual,195,228,233,237
Anti-Heterosexual,21,23,23,18
Anti-Bisexual,25,27,28,22
Ethnicity/National Origin:,944,"1,144","1,228","1,115"
Anti-Hispanic,522,660,722,691
Anti-Other Ethnicity/National Origin,422,484,506,424
Disability:,53,53,54,54
Anti-Physical,21,21,21,21
Anti-Mental,32,32,33,33
Multiple-Bias Incidents3,3,7,9,4
"1The term victim may refer to a person, business, institution, or society as a whole.",,,,
"2The term known offender does not imply that the identity of the suspect is known, but only that an attribute of the suspect
  has been identified, which distinguishes him/her from an unknown offender.",,,,
"3In a multiple-bias incident two conditions must be met:  1) more than one offense type must occur in the incident and 2) at
 least two offense types must be motivated by different biases.",,,,
