Bias_motivation,Total_offenses,Murder_and_nonnegligent_manslaughter,Rape,Aggravated_assault,Simple_assault,Intimidation,Other_crimes_against_persons,Robbery,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Destruction_damage_vandalism,Other_crimes_against_properties,Crimes_against_society
Total,"6,418",4,9,770,"1,514","1,745",6,122,162,239,22,26,"1,694",52,53
Single-Bias Incidents,"6,385",4,9,767,"1,507","1,738",6,121,160,237,22,25,"1,684",52,53
Race,"3,081",4,3,404,684,971,2,56,91,123,16,7,667,25,28
Anti-White,701,3,0,96,185,168,1,30,27,70,3,1,84,13,20
Anti-Black or African American,"1,955",1,2,265,421,701,1,17,24,17,2,4,491,5,4
Anti-American Indian or Alaska Native,142,0,1,10,23,25,0,5,13,28,8,0,21,6,2
Anti-Asian,168,0,0,17,38,42,0,3,27,5,2,2,31,1,0
Anti-Native Hawaiian or Other Pacific Islander,4,0,0,0,0,2,0,0,0,1,0,0,1,0,0
"Anti-Multiple Races, Group",111,0,0,16,17,33,0,1,0,2,1,0,39,0,2
Religion,"1,092",0,0,37,129,194,1,4,25,30,1,12,637,10,12
Anti-Jewish,635,0,0,4,65,93,0,1,8,5,0,2,451,2,4
Anti-Catholic,67,0,0,0,4,5,0,0,3,8,0,3,40,2,2
Anti-Protestant,28,0,0,1,2,4,0,0,3,4,0,0,12,1,1
Anti-Islamic (Muslim),178,0,0,20,36,64,0,3,2,2,0,1,45,2,3
Anti-Other Religion,120,0,0,9,13,15,0,0,6,6,1,6,60,3,1
"Anti-Multiple Religions, Group",51,0,0,0,8,11,1,0,2,3,0,0,25,0,1
Anti-Atheism/Agnosticism/etc.,13,0,0,3,1,2,0,0,1,2,0,0,4,0,0
Sexual Orientation,"1,178",0,1,171,397,306,1,36,20,20,1,2,216,3,4
Anti-Gay (Male),683,0,0,108,259,166,1,24,14,4,1,2,102,1,1
Anti-Lesbian,168,0,0,23,40,66,0,5,2,4,0,0,27,0,1
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",278,0,1,36,88,66,0,7,3,3,0,0,74,0,0
Anti-Heterosexual,18,0,0,0,4,5,0,0,0,4,0,0,5,0,0
Anti-Bisexual,31,0,0,4,6,3,0,0,1,5,0,0,8,2,2
Ethnicity,790,0,3,122,238,215,2,19,13,28,2,4,138,2,4
Anti-Hispanic or Latino,376,0,2,56,99,124,0,14,8,4,1,2,63,1,2
Anti-Not Hispanic or Latino4,414,0,1,66,139,91,2,5,5,24,1,2,75,1,2
Disability:,95,0,1,5,24,22,0,1,5,12,0,0,14,9,2
Anti-Physical,26,0,0,2,6,8,0,0,0,3,0,0,1,6,0
Anti-Mental,69,0,1,3,18,14,0,1,5,9,0,0,13,3,2
Gender,40,0,1,5,8,14,0,1,2,2,0,0,3,1,3
Anti-Male,12,0,0,1,1,8,0,0,2,0,0,0,0,0,0
Anti-Female,28,0,1,4,7,6,0,1,0,2,0,0,3,1,3
Gender Identity,109,0,0,23,27,16,0,4,4,22,2,0,9,2,0
Anti-Transgender,69,0,0,18,21,16,0,3,1,5,1,0,4,0,0
Anti-Gender Non-Conforming,40,0,0,5,6,0,0,1,3,17,1,0,5,2,0
Multiple-Bias Incidents,33,0,0,3,7,7,0,1,2,2,0,1,10,0,0
